frame,matches,cx,cy,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y,kcx,kcy,ktl_x,ktl_y,ktr_x,ktr_y,kbl_x,kbl_y,kbr_x,kbr_y
1,149,319.00845,218.42825,387.87408,324.95404,254.02496,330.0309,382.00684,111.78086,251.95193,114.365135,319.00845,218.42825,387.87408,324.95404,254.02496,330.0309,382.00684,111.78086,251.95193,114.365135
2,141,318.4848,217.91667,390.64987,328.0005,254.81712,326.7454,383.44327,108.477455,252.39017,116.7683,318.65005,218.07066,389.7941,327.06125,254.57289,327.75833,383.0004,109.4959,252.25507,116.0274
3,148,318.36038,217.37775,389.3361,327.01657,253.85942,328.55902,381.76144,109.676346,251.13132,113.19494,318.53058,217.7837,389.6101,327.04843,254.27974,328.0829,382.49146,109.56431,251.79184,114.86221
4,156,318.28287,217.66023,387.89005,324.58502,253.2411,328.4356,382.49704,109.86846,249.69133,111.95696,318.45276,217.74194,389.09543,326.31146,253.96484,328.1843,382.4917,109.64841,251.15329,113.97836
5,146,317.9484,217.60422,386.84152,323.5644,253.33226,328.979,381.54712,109.557106,249.39288,111.82345,318.3207,217.70116,388.51923,325.6076,253.79547,328.38126,382.252,109.618515,250.68748,113.40385
6,159,317.9065,217.44455,387.17447,323.08627,253.20016,329.57016,381.5651,108.70329,249.99397,113.53261,318.21164,217.63396,388.16626,324.9707,253.63759,328.6651,382.07733,109.39726,250.47778,113.36962
7,159,317.77954,217.1617,389.02527,326.03046,254.81271,326.31525,383.30283,105.178215,252.75255,117.46919,318.09814,217.51517,388.30057,325.12146,253.8716,328.17084,382.32474,108.441505,250.9293,114.22538
8,148,317.50903,217.3095,388.66522,327.80945,254.9501,327.88254,380.8712,106.92648,252.29874,115.71671,317.94534,217.45349,388.3434,325.64322,254.10101,328.09088,382.01123,108.02061,251.21722,114.57201
9,151,317.4071,217.04099,389.3096,326.4875,253.67763,326.03516,382.06885,108.0507,250.43665,114.77528,317.80576,217.34935,388.5207,325.8145,254.02788,327.64484,381.99973,107.92557,251.07114,114.65865
10,150,317.3155,216.82864,387.9194,325.5154,254.5869,325.6578,381.901,106.37906,251.58392,115.31443,317.6284,217.18622,388.3697,325.76263,254.17006,327.09448,381.93878,107.39726,251.19453,114.89135
11,152,317.06708,216.12692,388.1344,324.3646,252.94878,326.81274,380.52048,108.18306,248.72252,111.70487,317.42386,216.8788,388.28516,325.42856,253.9001,326.89297,381.55945,107.40144,250.61246,114.20325
12,152,316.86,216.13045,388.69577,324.69238,253.15529,326.05487,381.6683,105.89496,250.58675,115.64915,317.22803,216.6382,388.35693,325.22598,253.7152,326.58893,381.52698,106.92344,250.56342,114.53718
13,136,316.44064,216.17947,393.90732,331.8831,256.3223,320.66077,384.62994,99.349884,254.62704,123.552734,316.99127,216.44669,389.6048,326.70087,254.28618,325.1326,382.1839,105.06636,251.44952,116.60787
14,148,316.1137,216.24263,390.6722,328.20972,253.8121,323.20105,382.98395,103.08238,251.01675,118.167465,316.63568,216.26407,390.02866,327.2292,254.21594,324.27164,382.4022,104.09308,251.40985,117.32754
15,146,315.9344,215.85324,384.90576,321.42673,251.43999,326.01767,380.13458,107.77234,246.64401,109.451096,316.3529,216.05786,388.91132,325.95303,253.55981,324.39603,381.88132,104.62095,250.28316,115.66687
16,145,315.68048,215.56761,382.8289,319.25604,249.67319,329.86945,377.1595,110.641914,245.68361,107.133644,316.08475,215.83417,387.488,324.37656,252.60321,325.44705,380.74957,105.781044,249.12859,113.723595
17,143,314.99304,215.86089,386.60065,323.50055,250.66286,326.5733,379.8699,105.81071,246.62268,112.755646,315.7076,215.73662,387.16904,324.0393,252.04105,325.5871,380.4326,105.66343,248.39388,113.390785
18,146,314.33005,215.46663,385.44345,323.89856,251.15604,325.40942,378.61325,105.19429,247.94852,113.92203,315.24738,215.57094,386.64664,323.8498,251.68137,325.45203,379.88965,105.43277,248.07625,113.37528
19,150,313.95044,215.20024,384.0527,320.78546,247.20241,329.00665,377.33325,108.67806,244.45479,110.18999,314.77817,215.37607,385.90338,323.01443,250.51503,326.13702,379.15317,106.0133,247.05214,112.55081
20,156,313.76556,215.40752,383.99088,321.61575,249.92632,325.01086,378.41537,106.00558,245.44028,111.73942,314.36737,215.27275,385.28076,322.50455,250.1351,325.87054,378.7837,105.94882,246.42413,112.200386
21,154,313.32266,215.07108,380.82797,320.17297,246.68396,329.1641,375.51938,110.12215,243.17702,105.50891,313.93042,215.1035,384.07013,321.76178,249.12148,326.5321,377.85117,106.78087,245.40617,110.56589
22,146,312.0549,215.15663,381.39352,321.1959,246.87607,327.75824,375.09448,107.82587,242.44498,108.36172,313.29117,214.99759,383.15308,321.35303,248.29921,326.81628,376.96353,107.025505,244.38644,109.76182
23,154,311.74783,214.66766,378.5998,322.07352,245.46321,327.80463,374.55045,109.025925,242.64761,103.295555,312.7179,214.81041,381.82495,321.23343,247.34543,327.06808,376.13025,107.487946,243.61195,108.04741
24,138,311.72986,214.31601,375.57794,311.8437,241.46367,334.07648,373.18237,111.071556,235.00435,96.73794,312.2284,214.60239,380.07278,319.0084,245.7122,328.6,375.15137,108.31563,241.37463,105.21491
25,147,312.11673,213.2158,383.07056,325.16403,247.4012,324.11942,376.79526,103.95639,247.09818,110.299515,311.8972,214.20908,380.13617,319.86322,245.55057,327.85565,375.07562,107.54565,241.97533,105.60113
26,149,312.24973,213.95956,380.20157,321.35995,245.8854,325.67596,377.88074,105.02373,245.6291,108.31556,311.68066,214.02715,379.66397,319.87445,245.1575,327.50195,375.29047,107.07357,242.27309,105.612854
27,164,310.46735,215.05011,381.34677,327.86905,243.91386,328.3512,374.84763,106.99173,246.49074,112.88425,311.13803,214.11374,379.53568,321.28046,244.4432,327.73953,374.88235,107.0628,242.76497,106.63821
28,144,309.25446,216.34741,379.95135,325.0537,242.32903,329.93478,374.6089,106.99002,241.69511,112.12471,310.46637,214.46448,379.20825,321.96332,243.56087,328.26697,374.52567,107.05205,242.25745,107.45225
29,152,308.4966,216.32999,377.95032,325.71844,242.79636,330.67123,371.92725,107.49954,242.51898,112.07633,309.74506,214.78345,378.54895,322.71033,242.92851,328.87488,373.68823,107.14762,242.01167,108.18961
